<http://www.wikidata.org/entity/Q59393415> <http://www.wikidata.org/prop/direct/P625> "Point(10.0404297864 49.6813382924)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393556> <http://www.wikidata.org/prop/direct/P625> "Point(-2.2579388888889 43.2382)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393844> <http://www.wikidata.org/prop/direct/P625> "Point(12.450481111111 48.970346111111)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393863> <http://www.wikidata.org/prop/direct/P625> "Point(10.3932287612 49.4213188391)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393867> <http://www.wikidata.org/prop/direct/P625> "Point(10.936733055556 49.739185)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59393873> <http://www.wikidata.org/prop/direct/P625> "Point(11.048993055556 49.74932)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59394085> <http://www.wikidata.org/prop/direct/P625> "Point(9.986915 50.124753888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59394093> <http://www.wikidata.org/prop/direct/P625> "Point(9.920255 50.277098055556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59394094> <http://www.wikidata.org/prop/direct/P625> "Point(9.66339118564 50.2608118453)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59394110> <http://www.wikidata.org/prop/direct/P625> "Point(9.891795 50.208566944444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59394113> <http://www.wikidata.org/prop/direct/P625> "Point(12.3888456831 48.568864564)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59395527> <http://www.wikidata.org/prop/direct/P625> "Point(23.224472222222 42.651694444444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59398581> <http://www.wikidata.org/prop/direct/P625> "Point(-2.21457 53.16314)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59399389> <http://www.wikidata.org/prop/direct/P625> "Point(7.1124679 51.8446868)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59399641> <http://www.wikidata.org/prop/direct/P625> "Point(37.663959 55.699998)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59400382> <http://www.wikidata.org/prop/direct/P625> "Point(10.206805555556 49.126305555556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59404724> <http://www.wikidata.org/prop/direct/P625> "Point(8.5311111111111 52.055277777778)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59413035> <http://www.wikidata.org/prop/direct/P625> "Point(-1.354307 50.969793)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59413980> <http://www.wikidata.org/prop/direct/P625> "Point(-73.555871 45.503073)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59413981> <http://www.wikidata.org/prop/direct/P625> "Point(13.147093888889 49.096733888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59414032> <http://www.wikidata.org/prop/direct/P625> "Point(10.1479543403 47.3829686312)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
